Myles Burnyeat,,,Philosophie analytique
Alfred Mele,,,Philosophie analytique
Gary Watson,,,Philosophie analytique
A.A Long,,,Philosophie analytique
Alex Byrne,,,Philosophie analytique
Alexander Bird,,,Philosophie analytique
Allen Wood,,,Philosophie analytique

Bob Hale,,,Philosophie analytique


Charles Parsons,,,Philosophie analytique
Christian List,,,Philosophie analytique


D.H Mellor,,,Philosophie analytique
Daniel Kahneman,,,Philosophie analytique
Daniel Nolan,,,Philosophie analytique
David Brink,,,Philosophie analytique
David Gauthier,,,Philosophie analytique
David Hull,,,Philosophie analytique
David Miller,,,Philosophie analytique
David Papineau,,,Philosophie analytique
Dean Zimmerman,,,Philosophie analytique
Dov Gabbay,,,Philosophie analytique
Elisabeth Lloyd,,,Philosophie analytique
Eric Schwitzgebel,,,Philosophie analytique
Frances Kamm,,,Philosophie analytique
Fred Feldman,,,Philosophie analytique
Frederick Beiser,,,Philosophie analytique
George Bealer,,,Philosophie analytique
George Boolos,,,Philosophie analytique
Gregory Vlastos,,,Philosophie analytique
Helen Longino,,,Philosophie analytique
Henry Allison,,,Philosophie analytique
Huw Price,,,Philosophie analytique

Isaac Levi,,,Philosophie analytique

James Griffin,,,Philosophie analytique
James Van Cleve,,,Philosophie analytique
Jason Stanley,,,Philosophie analytique
Jean Hampton,,,Philosophie analytique

Jeff McMahan,,,Philosophie analytique
Jeremy Butterfield,,,Philosophie analytique

Jesse Prinz,,,Philosophie analytique
Johan Van Benthem,,,Philosophie analytique
John Bigelow,,,Philosophie analytique
John Broome,,,Philosophie analytique

John Cooper,,,Philosophie analytique
John Dupré,,,Philosophie analytique

John Heil,,,Philosophie analytique


John Maynard Smith,,,Philosophie analytique
John Von Neumann,,,Philosophie analytique
Jon Barwise,,,Philosophie analytique



Jonathan Wolff,,,Philosophie analytique
Joseph Halpern,,,Philosophie analytique
Joshua Cohen,,,Philosophie analytique


Kent Bach,,,Philosophie analytique
Kim Sterelny,,,Philosophie analytique

L.A Paul,,,Philosophie analytique
Larry Laudan,,,Philosophie analytique

Linda Martín Alcoff,,,Philosophie analytique



Lynne Rudder Baker,,,Philosophie analytique
Marilyn McCord Adams,,,Philosophie analytique
Mark Johnston,,,Philosophie analytique
Mark Schroeder,,,Philosophie analytique
Martin Davies,,,Philosophie analytique
Max Black,,,Philosophie analytique
Michael Bratman,,,Philosophie analytique
Michael Devitt,,,Philosophie analytique
Michael Friedman,,,Philosophie analytique



Michael Tye,,,Philosophie analytique



Nathan Salmon,,,Philosophie analytique
Neil Levy,,,Philosophie analytique
Nicholas Wolterstorff,,,Philosophie analytique
Noam Chomsky,,,Philosophie analytique
Norman Kretzmann,,,Philosophie analytique
Norman Malcolm,,,Philosophie analytique

Onora O'Neill,,,Philosophie analytique
Owen Flanagan,,,Philosophie analytique
Paolo Mancosu,,,Philosophie analytique
Patrick Suppes,,,Philosophie analytique

Paul Boghossian,,,Philosophie analytique


Paul Griffiths,,,Philosophie analytique
Paul Guyer,,,Philosophie analytique
Paul Horwich,,,Philosophie analytique
Paul Teller,,,Philosophie analytique
Paul Vincent Spade,,,Philosophie analytique

Peter Railton,,,Philosophie analytique
Peter Simons,,,Philosophie analytique

R.M Sainsbury,,,Philosophie analytique
Rae Langton,,,Philosophie analytique
Richard Arneson,,,Philosophie analytique
Richard Brandt,,,Philosophie analytique
Richard Feldman,,,Philosophie analytique
Richard Jeffrey,,,Philosophie analytique
Richard Kraut,,,Philosophie analytique
Richard Montague,,,Philosophie analytique




Robert Goodin,,,Philosophie analytique
Robert Pasnau,,,Philosophie analytique

Roy Sorensen,,,Philosophie analytique
Russ Shafer-Landau,,,Philosophie analytique

Ruth Millikan,,,Philosophie analytique
S.C Kleene,,,Philosophie analytique




Samuel Scheffler,,,Philosophie analytique
Seyla Benhabib,,,Philosophie analytique
Shaun Nichols,,,Philosophie analytique
Shelly Kagan,,,Philosophie analytique
Solomon Feferman,,,Philosophie analytique
Sten Ebbesen,,,Philosophie analytique
Stephen Schiffer,,,Philosophie analytique


Susan Hurley,,,Philosophie analytique
Susan Moller Okin,,,Philosophie analytique




Tamar Gendler,,,Philosophie analytique


Tim Bayne,,,Philosophie analytique

Tim Maudlin,,,Philosophie analytique
Trenton Merricks,,,Philosophie analytique
Uriah Kriegel,,,Philosophie analytique
W.C Salmon,,,Philosophie analytique
Walter Sinnott-Armstrong,,,Philosophie analytique
Will Kymlicka,,,Philosophie analytique
William Bechtel,,,Philosophie analytique
William Lane Craig,,,Philosophie analytique
William Rowe,,,Philosophie analytique
William Wimsatt,,,Philosophie analytique

Philosophie indienne : 
Patanjali  (Yoga-sutra)
Jaimini (Mimamsa-sutra)
Badarayana (Vedanta-sutra)
Isvarkrsna (Samkhya)
Gautama (Nyaya-sutra)
Kanada (Vaisesika-sutra).
